iter	RMSE
0	21195.29035
1	20232.67645
2	19330.20918
3	18496.1075
4	17660.90769
5	16875.91943
6	16141.28125
7	15465.49172
8	14813.6028
9	14204.83055
10	13621.69034
11	13096.90653
12	12574.95971
13	12100.56347
14	11624.45313
15	11211.94989
16	10797.6183
17	10395.95968
18	10024.41873
19	9665.148039
20	9328.512877
21	9034.886079
22	8733.892407
23	8445.594434
24	8188.01739
25	7947.183767
26	7723.90518
27	7508.544925
28	7306.882613
29	7115.798531
30	6950.884263
31	6791.895549
32	6631.255308
33	6486.667521
34	6357.449979
35	6262.068381
36	6135.998464
37	6027.103863
38	5923.416058
39	5827.466952
40	5714.127401
41	5653.546741
42	5570.040753
43	5481.162752
44	5419.897706
45	5355.727748
46	5277.836568
47	5213.99734
48	5154.323333
49	5081.810491
50	5042.603363
51	5011.003798
52	4969.805824
53	4934.333357
54	4892.341119
55	4851.111337
56	4824.565646
57	4797.796098
58	4760.092814
59	4721.30231
60	4682.05064
61	4654.464964
62	4618.015087
63	4593.982401
64	4569.949097
65	4545.538208
66	4518.793894
67	4498.814489
68	4475.211309
69	4455.751586
70	4443.803817
71	4427.437671
72	4423.339015
73	4414.931766
74	4392.493015
75	4379.52778
76	4353.386806
77	4342.531989
78	4324.18645
79	4300.60878
80	4281.24006
81	4269.948338
82	4264.69334
83	4249.595098
84	4244.776156
85	4234.860319
86	4214.396926
87	4212.173099
88	4198.669211
89	4182.421644
90	4172.601892
91	4160.286551
92	4148.851834
93	4136.054807
94	4124.445727
95	4116.49998
96	4104.112074
97	4097.965692
98	4090.539535
99	4077.436493
100	4072.069189
101	4066.783497
102	4054.048415
103	4044.224317
104	4034.651669
105	4025.886867
106	4020.748584
107	4008.691885
108	4004.606504
109	3994.888238
110	3994.462812
111	3994.0584
112	3993.673963
113	3987.990805
114	3983.561531
115	3971.090711
116	3969.385355
117	3958.152289
118	3954.653649
119	3951.419441
120	3945.386404
121	3937.547391
122	3933.963543
123	3933.523004
124	3929.613395
125	3915.498847
126	3913.68152
127	3901.290475
128	3900.938901
129	3889.073392
130	3884.269113
131	3879.979709
132	3874.047879
133	3867.810602
134	3863.488545
135	3859.573793
136	3854.207158
137	3852.157821
138	3849.923511
139	3845.380644
140	3845.36865
141	3844.399608
142	3844.116407
143	3841.589354
144	3838.689783
145	3837.507044
146	3833.14719
147	3830.299253
148	3828.717714
149	3821.723369
150	3812.937838
151	3806.073533
152	3803.683877
153	3803.639206
154	3801.225422
155	3798.523202
156	3793.812298
157	3793.283375
158	3788.667003
159	3781.547675
160	3779.688757
161	3772.695671
162	3766.085459
163	3765.330415
164	3753.769583
165	3747.49096
166	3741.741987
167	3735.64123
168	3730.197741
169	3725.406465
170	3721.179166
171	3719.070657
172	3713.405173
173	3711.819035
174	3710.779737
175	3700.114358
176	3698.089292
177	3694.606338
178	3688.922
179	3686.507075
180	3684.962167
181	3681.280084
182	3669.111147
183	3667.116151
184	3660.605155
185	3654.174685
186	3653.385353
187	3650.504288
188	3648.078936
189	3646.832574
190	3641.626644
191	3638.571535
192	3638.164489
193	3635.561498
194	3631.399828
195	3627.569827
196	3623.081322
197	3613.256563
198	3607.35695
199	3604.311435
200	3597.504202
201	3587.415272
202	3578.912119
203	3575.063325
204	3567.464202
205	3566.626066
206	3563.261504
207	3560.838421
208	3552.113991
209	3545.648008
210	3534.252533
211	3528.82877
212	3524.034146
213	3518.997176
214	3513.240154
215	3509.145993
216	3508.473112
217	3502.183089
218	3499.608171
219	3498.198446
220	3489.422598
221	3486.358171
222	3482.378774
223	3480.417749
224	3480.026769
225	3471.741767
226	3467.438975
227	3463.778879
228	3461.710793
229	3460.822323
230	3456.735858
231	3452.901327
232	3447.719219
233	3444.970757
234	3444.878472
235	3439.78795
236	3435.626686
237	3430.734017
238	3425.660006
239	3425.308323
240	3424.186005
241	3422.8199
242	3422.583868
243	3419.580528
244	3412.826791
245	3407.150912
246	3402.059493
247	3399.398681
248	3394.998429
249	3389.474339
250	3383.40835
251	3381.773046
252	3378.569247
253	3378.277429
254	3377.99095
255	3370.430622
256	3365.604082
257	3359.427747
258	3355.914301
259	3349.91588
260	3348.500393
261	3345.083736
262	3343.811253
263	3342.959602
264	3341.762677
265	3338.392361
266	3332.759121
267	3331.368227
268	3322.826852
269	3316.301233
270	3315.836391
271	3312.567317
272	3308.396038
273	3302.69398
274	3302.449211
275	3297.657551
276	3288.247332
277	3286.032568
278	3279.497318
279	3278.303751
280	3275.757229
281	3271.049653
282	3266.690537
283	3263.959467
284	3257.105495
285	3253.23176
286	3252.34699
287	3248.066763
288	3246.087614
289	3243.056513
290	3238.98741
291	3238.669635
292	3233.003575
293	3229.127898
294	3226.932433
295	3222.724396
296	3221.419535
297	3218.161943
298	3216.215835
299	3213.480669
300	3209.047611
301	3207.149227
302	3204.305841
303	3199.298545
304	3193.669016
305	3193.055345
306	3189.704248
307	3186.032652
308	3183.282603
309	3175.573964
310	3168.541795
311	3163.030912
312	3159.433414
313	3156.620384
314	3153.020004
315	3150.111831
316	3143.006727
317	3142.776335
318	3138.922597
319	3136.546241
320	3130.424064
321	3127.656482
322	3126.121665
323	3121.607051
324	3118.525642
325	3113.539581
326	3107.367719
327	3101.962214
328	3098.268626
329	3094.537629
330	3092.977809
331	3088.491751
332	3084.316204
333	3080.864089
334	3077.044223
335	3073.574294
336	3072.807754
337	3071.43827
338	3067.586319
339	3064.621265
340	3060.502698
341	3056.184881
342	3055.536162
343	3053.075472
344	3048.407537
345	3047.106747
346	3045.660827
347	3040.572482
348	3038.415878
349	3036.872522
350	3032.716528
351	3029.645752
352	3029.151747
353	3025.851388
354	3025.544827
355	3024.642338
356	3023.014373
357	3021.678505
358	3021.323838
359	3019.80101
360	3018.585532
361	3015.103889
362	3012.913653
363	3012.149632
364	3011.192504
365	3004.833245
366	3002.980398
367	3002.276623
368	2999.393427
369	2997.812101
370	2997.285429
371	2995.542001
372	2993.522872
373	2989.946709
374	2989.720914
375	2984.479361
376	2980.537135
377	2971.961561
378	2971.524554
379	2966.176109
380	2964.350848
381	2964.017165
382	2962.596543
383	2956.518379
384	2949.704469
385	2946.221831
386	2943.624595
387	2939.8704
388	2937.248723
389	2935.890952
390	2930.814331
391	2928.033219
392	2926.489472
393	2924.90379
394	2923.307191
395	2919.707357
396	2914.841149
397	2913.826528
398	2912.658045
399	2911.634827
400	2908.785956
401	2906.468012
402	2905.673178
403	2904.755724
404	2901.044782
405	2897.921414
406	2895.439719
407	2892.663449
408	2889.045092
409	2888.259188
410	2886.591642
411	2886.233948
412	2884.52072
413	2884.10219
414	2878.591918
415	2871.814775
416	2871.591637
417	2871.416138
418	2863.756208
419	2857.181882
420	2854.609958
421	2854.353621
422	2853.305441
423	2850.655039
424	2848.331325
425	2845.846023
426	2845.457048
427	2839.957989
428	2837.019584
429	2835.306215
430	2831.935632
431	2829.427301
432	2826.286482
433	2825.93711
434	2821.034371
435	2817.698431
436	2813.607116
437	2806.68652
438	2802.560671
439	2797.712605
440	2797.403543
441	2793.211049
442	2788.779854
443	2787.899739
444	2787.615186
445	2786.373195
446	2782.116501
447	2778.133885
448	2774.675231
449	2771.896334
450	2768.832106
451	2767.539868
452	2762.506019
453	2761.587875
454	2761.353194
455	2759.332237
456	2758.698714
457	2757.291348
458	2755.08427
459	2748.230883
460	2744.038698
461	2742.009034
462	2736.376033
463	2731.713836
464	2730.432364
465	2721.409927
466	2715.923361
467	2713.716839
468	2711.275719
469	2705.614823
470	2703.914131
471	2703.540125
472	2697.800906
473	2695.667215
474	2690.439089
475	2690.31902
476	2687.417922
477	2684.52293
478	2681.985117
479	2681.562455
480	2677.865552
481	2675.373211
482	2673.118915
483	2672.49145
484	2671.441691
485	2667.636865
486	2666.579421
487	2664.945492
488	2660.210218
489	2657.863033
490	2656.039801
491	2653.235726
492	2651.263526
493	2648.608079
494	2646.993754
495	2646.739583
496	2645.532614
497	2640.399209
498	2635.554167
499	2633.570325
500	2630.250282
501	2629.159446
502	2625.122552
503	2624.520804
504	2622.050073
505	2619.102349
506	2614.734687
507	2613.277819
508	2611.865646
509	2610.09145
510	2607.649287
511	2606.782214
512	2606.23957
513	2603.533989
514	2599.822164
515	2597.344952
516	2597.011317
517	2596.457608
518	2589.424282
519	2584.897943
520	2584.800787
521	2582.83646
522	2582.149893
523	2581.161247
524	2575.044741
525	2574.152255
526	2572.518095
527	2569.606929
528	2568.027263
529	2560.830259
530	2559.63037
531	2556.586148
532	2555.962165
533	2552.74811
534	2551.771633
535	2545.988193
536	2545.829682
537	2540.425278
538	2539.16647
539	2539.005623
540	2538.226235
541	2538.106568
542	2534.3134
543	2530.665053
544	2530.039421
545	2529.847051
546	2529.232611
547	2527.772329
548	2524.061909
549	2518.863189
550	2518.494221
551	2511.809871
552	2510.454363
553	2507.899012
554	2505.518343
555	2496.483053
556	2492.74919
557	2488.735646
558	2486.366137
559	2485.896803
560	2480.331623
561	2478.439387
562	2474.158031
563	2473.054423
564	2468.575214
565	2464.99075
566	2464.553933
567	2460.582272
568	2460.254618
569	2459.871475
570	2455.334713
571	2450.52697
572	2444.441297
573	2443.024322
574	2439.201888
575	2435.425011
576	2434.803572
577	2434.266336
578	2434.13456
579	2432.879226
580	2432.588758
581	2430.448408
582	2430.214387
583	2425.750409
584	2423.281929
585	2422.136585
586	2419.637229
587	2418.174351
588	2416.212898
589	2415.794214
590	2415.643394
591	2414.232902
592	2410.49107
593	2407.856596
594	2405.625264
595	2405.132745
596	2403.563459
597	2402.788711
598	2398.29963
599	2391.870611
600	2387.328595
601	2386.125835
602	2384.857256
603	2380.350715
604	2378.522601
605	2376.453077
606	2374.620903
607	2373.575449
608	2371.671358
609	2367.521502
610	2364.686683
611	2364.237027
612	2360.794011
613	2358.251765
614	2357.738257
615	2357.457933
616	2352.052995
617	2349.28232
618	2345.209601
619	2343.508952
620	2340.135261
621	2334.831496
622	2334.258862
623	2333.795404
624	2332.743066
625	2331.243846
626	2328.624052
627	2326.352871
628	2321.130411
629	2318.676605
630	2317.735282
631	2316.802829
632	2313.525339
633	2310.078356
634	2307.382276
635	2304.317152
636	2302.090718
637	2298.930636
638	2297.117988
639	2294.546301
640	2292.994155
641	2291.008255
642	2286.517754
643	2286.413461
644	2283.518668
645	2279.983897
646	2277.983671
647	2275.423752
648	2275.114353
649	2271.575743
650	2271.378601
651	2270.090811
652	2268.703279
653	2268.358413
654	2266.995845
655	2265.398183
656	2262.67873
657	2259.572636
658	2258.488546
659	2258.277802
660	2254.813245
661	2250.527999
662	2249.326214
663	2249.126958
664	2245.52312
665	2243.731373
666	2243.432758
667	2243.269556
668	2241.438764
669	2240.465986
670	2238.016164
671	2234.003644
672	2233.622915
673	2232.071655
674	2230.306179
675	2230.125672
676	2228.656358
677	2227.449393
678	2225.516946
679	2225.317878
680	2221.324205
681	2220.709937
682	2217.951975
683	2213.95239
684	2210.845927
685	2206.700497
686	2205.235996
687	2203.344424
688	2201.149478
689	2197.669194
690	2196.78011
691	2193.419376
692	2192.883113
693	2191.417685
694	2191.293802
695	2189.535317
696	2187.365606
697	2184.981723
698	2183.597512
699	2182.216852
700	2180.02567
701	2177.23563
702	2174.79625
703	2174.61948
704	2173.746323
705	2171.060688
706	2169.67158
707	2168.346369
708	2165.943662
709	2163.750304
710	2161.017867
711	2158.006403
712	2156.012711
713	2152.973887
714	2151.637662
715	2150.300342
716	2147.654401
717	2144.765113
718	2144.635997
719	2142.851923
720	2139.64798
721	2137.686352
722	2137.017336
723	2134.66935
724	2132.84378
725	2128.766012
726	2126.020031
727	2125.076468
728	2121.642011
729	2119.912159
730	2119.733508
731	2118.656813
732	2118.565548
733	2117.433297
734	2115.419178
735	2113.38978
736	2112.491631
737	2111.27322
738	2109.684983
739	2107.74821
740	2107.667803
741	2106.231655
742	2104.754408
743	2102.952749
744	2101.640209
745	2098.857313
746	2096.950263
747	2095.057711
748	2093.463573
749	2093.265217
750	2090.743631
751	2090.489774
752	2089.264425
753	2087.552939
754	2086.618284
755	2084.910569
756	2082.422367
757	2080.387
758	2080.269328
759	2079.099857
760	2078.206403
761	2074.407365
762	2071.653094
763	2071.49702
764	2068.708026
765	2067.387647
766	2064.493236
767	2063.201478
768	2062.575653
769	2060.248142
770	2058.513263
771	2058.337075
772	2055.134156
773	2053.831007
774	2053.296421
775	2049.668011
776	2048.589604
777	2047.370648
778	2046.69957
779	2045.417486
780	2044.655069
781	2041.130101
782	2039.011123
783	2038.617727
784	2033.233783
785	2032.501827
786	2029.664004
787	2026.073409
788	2024.64568
789	2022.169361
790	2019.808222
791	2018.068816
792	2016.98036
793	2015.763739
794	2012.316389
795	2009.942866
796	2009.022622
797	2007.801577
798	2007.03991
799	2005.113267
800	2003.86697
801	2002.58948
802	2000.654826
803	2000.372424
804	1995.276636
805	1994.95571
806	1993.124649
807	1991.311489
808	1989.667773
809	1985.911333
810	1983.546777
811	1983.047864
812	1980.64211
813	1979.080281
814	1973.596787
815	1971.326494
816	1969.519948
817	1966.860369
818	1965.20332
819	1964.077779
820	1963.897377
