iter	Passed	Remaining
0	67	134634
1	170	170561
2	269	179515
3	375	187356
4	444	177160
5	541	179862
6	648	184691
7	766	190813
8	871	192853
9	978	194805
10	1092	197479
11	1220	202175
12	1358	207644
13	1529	216986
14	1633	216217
15	1739	215721
16	1848	215582
17	1958	215635
18	2062	214993
19	2117	209583
20	2167	204252
21	2213	199026
22	2310	198611
23	2434	200462
24	2572	203240
25	2642	200611
26	2752	201135
27	2866	201896
28	2932	199302
29	3010	197687
30	3131	198902
31	3227	198495
32	3336	198861
33	3463	200267
34	3564	200130
35	3592	195971
36	3707	196673
37	3843	198438
38	3965	199416
39	4096	200708
40	4222	201759
41	4250	198162
42	4365	198684
43	4499	200013
44	4633	201309
45	4763	202355
46	4885	202999
47	5011	203809
48	5141	204723
49	5277	205837
50	5394	206137
51	5445	203998
52	5554	204048
53	5678	204647
54	5808	205424
55	5936	206079
56	6052	206319
57	6145	205783
58	6256	205814
59	6368	205930
60	6496	206496
61	6633	207337
62	6753	207628
63	6886	208316
64	7013	208799
65	7119	208615
66	7235	208756
67	7368	209357
68	7488	209567
69	7601	209574
70	7680	208668
71	7805	209019
72	7848	207178
73	7909	205852
74	8029	206085
75	8157	206508
76	8282	206845
77	8405	207123
78	8538	207616
79	8661	207883
80	8785	208140
81	8897	208108
82	8990	207650
83	9107	207728
84	9234	208052
85	9362	208360
86	9480	208453
87	9558	207677
88	9681	207889
89	9799	207968
90	9925	208227
91	10049	208422
92	10161	208359
93	10291	208668
94	10405	208664
95	10528	208816
96	10652	208992
97	10786	209344
98	10924	209777
99	11050	209951
100	11175	210117
101	11292	210128
102	11412	210182
103	11559	210740
104	11696	211101
105	11824	211279
106	11951	211446
107	12074	211524
108	12196	211598
109	12321	211706
110	12346	210114
111	12375	208616
112	12400	207073
113	12505	206884
114	12622	206906
115	12775	207498
116	12905	207698
117	13059	208288
118	13217	208931
119	13363	209358
120	13502	209681
121	13643	210013
122	13778	210268
123	13845	209472
124	13973	209605
125	14096	209660
126	14208	209543
127	14336	209677
128	14402	208892
129	14531	209027
130	14664	209214
131	14796	209391
132	14924	209498
133	15046	209525
134	15175	209651
135	15305	209781
136	15433	209877
137	15553	209858
138	15682	209967
139	15812	210075
140	15842	208871
141	15956	208782
142	15997	207746
143	16116	207726
144	16242	207790
145	16311	207129
146	16435	207180
147	16557	207190
148	16674	207142
149	16828	207550
150	16974	207850
151	17104	207949
152	17219	207875
153	17248	206759
154	17357	206613
155	17472	206529
156	17601	206625
157	17726	206662
158	17856	206758
159	17983	206815
160	18114	206914
161	18286	207472
162	18460	208049
163	18645	208743
164	18792	208990
165	18923	209068
166	19069	209302
167	19186	209220
168	19310	209219
169	19454	209422
170	19582	209452
171	19708	209456
172	19828	209405
173	19958	209445
174	20087	209487
175	20218	209533
176	20350	209597
177	20480	209635
178	20606	209632
179	20729	209601
180	20855	209591
181	20982	209593
182	21106	209564
183	21238	209614
184	21364	209607
185	21493	209617
186	21630	209707
187	21780	209926
188	21913	209975
189	22033	209895
190	22149	209778
191	22278	209790
192	22401	209735
193	22531	209753
194	22665	209797
195	22791	209775
196	22914	209715
197	23038	209677
198	23163	209632
199	23289	209604
200	23416	209587
201	23548	209607
202	23670	209536
203	23802	209551
204	23924	209487
205	24046	209418
206	24167	209336
207	24293	209295
208	24416	209232
209	24534	209127
210	24659	209081
211	24782	209014
212	24912	209009
213	25046	209035
214	25183	209083
215	25301	208971
216	25413	208811
217	25540	208773
218	25669	208753
219	25793	208690
220	25923	208680
221	26052	208652
222	26189	208695
223	26331	208771
224	26460	208742
225	26590	208723
226	26707	208599
227	26829	208520
228	26956	208468
229	27070	208327
230	27186	208194
231	27344	208386
232	27487	208460
233	27620	208454
234	27741	208356
235	27867	208300
236	27998	208279
237	28129	208254
238	28267	208282
239	28378	208112
240	28506	208058
241	28635	208018
242	28726	207707
243	28841	207566
244	28957	207429
245	29082	207357
246	29196	207209
247	29330	207208
248	29455	207138
249	29584	207092
250	29719	207091
251	29869	207189
252	29997	207133
253	30143	207204
254	30284	207238
255	30410	207168
256	30524	207022
257	30647	206931
258	30765	206808
259	30886	206702
260	31004	206578
261	31139	206568
262	31335	206959
263	31494	207099
264	31645	207191
265	31775	207139
266	31901	207060
267	32027	206981
268	32158	206941
269	32295	206929
270	32427	206889
271	32550	206788
272	32694	206823
273	32818	206729
274	32946	206662
275	33090	206696
276	33222	206652
277	33371	206712
278	33499	206643
279	33641	206652
280	33782	206660
281	33903	206545
282	34017	206389
283	34145	206317
284	34271	206233
285	34401	206166
286	34528	206089
287	34652	205989
288	34782	205925
289	34907	205833
290	35023	205685
291	35144	205573
292	35275	205515
293	35404	205443
294	35530	205356
295	35660	205290
296	35778	205151
297	35892	204994
298	36017	204900
299	36142	204804
300	36268	204720
301	36384	204574
302	36511	204486
303	36635	204386
304	36766	204322
305	36891	204229
306	37016	204135
307	37142	204043
308	37268	203952
309	37397	203874
310	37522	203779
311	37646	203676
312	37766	203552
313	37890	203450
314	38029	203425
315	38147	203292
316	38286	203268
317	38424	203239
318	38556	203176
319	38683	203090
320	38874	203335
321	39004	203260
322	39128	203154
323	39239	202977
324	39381	202967
325	39514	202904
326	39680	203014
327	39842	203097
328	40039	203362
329	40216	203518
330	40367	203542
331	40519	203575
332	40688	203686
333	40840	203711
334	40987	203716
335	41118	203633
336	41244	203528
337	41389	203516
338	41524	203457
339	41660	203400
340	41821	203468
341	41962	203431
342	42113	203447
343	42262	203451
344	42434	203562
345	42589	203592
346	42726	203533
347	42857	203449
348	43002	203432
349	43170	203518
350	43313	203485
351	43475	203543
352	43616	203502
353	43736	203363
354	43861	203243
355	43995	203168
356	44114	203023
357	44241	202916
358	44366	202799
359	44491	202681
360	44626	202609
361	44764	202553
362	44889	202433
363	45008	202288
